id,target,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120
sequence_40842,522,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0436,0.094,0.057,0.0201,0.0503,0.1074,0.0,0.289,2.6076,-2.4932,0.513,-0.4965,0.3341,-1.3302,2.1801,-1.6132,0.0919,-1.3612,-1.6367,1.9486,-1.8268,0.3394,-0.1878,1.8013,-0.315,0.808,-0.4702,4.7218,0.6724,-0.9385,-2.6283,-0.4002,0.5397,-0.0566,0.14,-0.9417,0.4568,-2.6714,0.3608,-1.8288,-1.4122,-1.4117,2.4694,-0.5739,2.3349,-2.0384,-2.8498,-1.7125,-2.1932,0.6175,-0.1059,-1.0092,-1.5495,3.5591,-1.2622,-1.7366,2.0887,-2.0429,-0.5352,-1.813,-0.1132,-0.1489,2.3317,0.1421,-0.7748,-2.6662,-0.2863,-0.1687,-0.3192,2.1585,-0.1546,-0.0036,3.0929,-1.2743,0.4894,-0.1344,-0.9579,2.1108,-1.5482,0.2928,-2.9875,-0.2199,-0.7084,2.6553,1.6682,-0.9471,1.5633,1.3967,0.2373,-0.1114,-0.3941,-0.9948,0.8204,4.8216,-2.0877,3.0749,1.0657,-2.8588,-1.3142,-0.3698,-0.0368,-1.7211,-0.2178,-0.0557,-0.327,-0.176,2.8991
sequence_40844,519,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0235,0.0503,0.1074,0.0,0.3123,2.6078,-2.4766,0.523,-0.4791,0.3537,-1.3004,2.1934,-1.643,0.1023,-1.3598,-1.6258,1.944,-1.8439,0.3355,-0.1827,1.8287,-0.3168,0.7992,-0.4467,4.746,0.6648,-0.971,-2.6438,-0.4167,0.5236,-0.0508,0.1405,-0.9416,0.4598,-2.6507,0.3672,-1.8383,-1.4161,-1.3966,2.4535,-0.559,2.3367,-2.0193,-2.8553,-1.6894,-2.176,0.6328,-0.1102,-0.9936,-1.5397,3.5866,-1.2482,-1.7082,2.052,-2.0356,-0.5316,-1.7999,-0.1188,-0.1392,2.3254,0.1467,-0.7709,-2.6707,-0.3029,-0.1678,-0.3342,2.1623,-0.1572,-0.0098,3.0679,-1.2952,0.4996,-0.1292,-0.9803,2.0603,-1.5417,0.3046,-2.9775,-0.2073,-0.71,2.6351,1.6825,-0.9796,1.5264,1.3847,0.2378,-0.1045,-0.3948,-0.9881,0.7895,4.8322,-2.0559,3.0566,1.0461,-2.8482,-1.2733,-0.3872,-0.0525,-1.7197,-0.1663,-0.057,-0.3316,-0.199,2.8754
sequence_40838,531,0.1275,0.0336,0.0268,0.0302,0.0,0.0302,0.0302,0.0537,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0201,0.0503,0.1074,0.0,0.2864,2.622,-2.4694,0.5201,-0.4928,0.346,-1.2989,2.2121,-1.665,0.093,-1.3649,-1.6094,1.9438,-1.8585,0.2753,-0.169,1.8225,-0.3059,0.8094,-0.4362,4.7206,0.6166,-0.9809,-2.6756,-0.3794,0.4817,-0.0697,0.1525,-0.9541,0.4791,-2.669,0.362,-1.8315,-1.3964,-1.3835,2.4892,-0.5738,2.3098,-2.0353,-2.8685,-1.7205,-2.1538,0.6105,-0.0921,-0.9788,-1.5077,3.5636,-1.283,-1.7478,2.0591,-2.0123,-0.5174,-1.7916,-0.1134,-0.1433,2.3675,0.1513,-0.7472,-2.6587,-0.2791,-0.1578,-0.3576,2.165,-0.1846,-0.0149,3.0981,-1.3366,0.522,-0.1156,-0.9571,2.0933,-1.5462,0.3115,-2.9904,-0.2389,-0.6875,2.6697,1.6446,-0.9825,1.5501,1.4196,0.2723,-0.0961,-0.4042,-1.0199,0.8367,4.8091,-2.1313,3.0366,1.0202,-2.8692,-1.259,-0.3999,-0.0515,-1.7252,-0.131,-0.0541,-0.33,-0.1986,2.8965
sequence_40816,531,0.1309,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.0906,0.057,0.0201,0.0503,0.1074,0.0,0.2787,2.6149,-2.4908,0.5016,-0.486,0.3226,-1.3539,2.1727,-1.6401,0.1216,-1.3354,-1.6311,1.9736,-1.8427,0.3363,-0.216,1.8029,-0.2851,0.7784,-0.4761,4.7329,0.6546,-0.9362,-2.6136,-0.3893,0.549,-0.0517,0.1601,-0.9599,0.4659,-2.6274,0.367,-1.8657,-1.4127,-1.4011,2.465,-0.5822,2.3141,-2.0033,-2.8508,-1.6786,-2.1512,0.5915,-0.088,-0.9839,-1.5256,3.5719,-1.2713,-1.7348,2.0715,-2.0546,-0.5295,-1.8411,-0.122,-0.173,2.3593,0.1458,-0.7672,-2.6039,-0.3013,-0.1971,-0.2856,2.1337,-0.1525,-0.0119,3.0307,-1.2825,0.4881,-0.1431,-0.9647,2.0951,-1.4948,0.2792,-2.9783,-0.2405,-0.7156,2.6485,1.6389,-0.9793,1.4911,1.4467,0.2339,-0.0925,-0.3922,-0.9949,0.833,4.8158,-2.0554,3.0655,1.0477,-2.8551,-1.3209,-0.3585,-0.0289,-1.6709,-0.2281,-0.0382,-0.3347,-0.1815,2.9353
sequence_40817,528,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.0604,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.0906,0.057,0.0201,0.0503,0.1074,0.0,0.2462,2.5812,-2.5048,0.5084,-0.4775,0.3339,-1.3158,2.1882,-1.6483,0.062,-1.349,-1.6495,1.948,-1.8304,0.2827,-0.1928,1.8061,-0.2907,0.8002,-0.4328,4.7159,0.6492,-0.9113,-2.6518,-0.3919,0.5763,-0.0574,0.1777,-0.9369,0.4431,-2.6815,0.3956,-1.8163,-1.4217,-1.4277,2.4391,-0.5977,2.3097,-2.0259,-2.8568,-1.7175,-2.1868,0.5756,-0.11,-1.0637,-1.5462,3.5598,-1.2791,-1.8016,2.1089,-2.023,-0.5561,-1.82,-0.1073,-0.1946,2.3048,0.1526,-0.7531,-2.6485,-0.316,-0.1606,-0.3461,2.1562,-0.1755,-0.0354,3.1043,-1.2862,0.4788,-0.1034,-0.949,2.088,-1.532,0.2337,-2.975,-0.2223,-0.7127,2.6631,1.6149,-0.9126,1.5609,1.3807,0.3151,-0.1111,-0.3883,-1.022,0.9178,4.8143,-2.0687,3.0477,1.0678,-2.8906,-1.3287,-0.3366,-0.0403,-1.6973,-0.2067,-0.0614,-0.3226,-0.1377,2.9124
sequence_40818,522,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0436,0.0906,0.057,0.0201,0.0503,0.1074,0.0,0.245,2.5996,-2.5097,0.5061,-0.4805,0.3576,-1.3158,2.2109,-1.6626,0.0784,-1.3567,-1.6702,1.9832,-1.8677,0.274,-0.1825,1.8309,-0.2946,0.8268,-0.3997,4.7084,0.6718,-0.9866,-2.6647,-0.4028,0.5413,-0.06,0.1549,-0.9649,0.4604,-2.7201,0.3611,-1.8351,-1.39,-1.4535,2.4612,-0.5845,2.3307,-2.0437,-2.8392,-1.731,-2.2037,0.6196,-0.1092,-1.0334,-1.5818,3.5597,-1.2555,-1.7326,2.0894,-2.0379,-0.5415,-1.8258,-0.1123,-0.1654,2.3439,0.1811,-0.7589,-2.6894,-0.2829,-0.1629,-0.3249,2.1808,-0.2078,-0.0413,3.1192,-1.3232,0.4865,-0.0595,-0.9389,2.0876,-1.5682,0.2546,-3.0171,-0.237,-0.6961,2.6925,1.6509,-0.9201,1.5447,1.3818,0.3404,-0.1247,-0.3839,-1.0488,0.895,4.8324,-2.0729,3.0899,1.0533,-2.9011,-1.2892,-0.3822,-0.0477,-1.712,-0.1707,-0.0792,-0.3123,-0.1843,2.9639
sequence_40827,525,0.1242,0.0336,0.0268,0.0302,0.0034,0.0268,0.0302,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0201,0.0503,0.1074,0.0,0.3255,2.6114,-2.5155,0.4765,-0.4906,0.3401,-1.2908,2.2083,-1.6873,0.1181,-1.3436,-1.6304,1.9282,-1.8703,0.2877,-0.1985,1.8062,-0.2912,0.8118,-0.4461,4.7286,0.6369,-0.9599,-2.6742,-0.385,0.4736,-0.068,0.1518,-0.9418,0.4496,-2.6565,0.3559,-1.851,-1.4236,-1.419,2.4655,-0.5742,2.3345,-2.025,-2.8934,-1.71,-2.1753,0.6258,-0.0924,-1.0241,-1.5323,3.5708,-1.2755,-1.7686,2.0537,-2.0547,-0.5399,-1.8055,-0.1027,-0.1404,2.2808,0.1529,-0.7619,-2.7124,-0.2755,-0.1917,-0.3193,2.1755,-0.1526,-0.012,3.0791,-1.3274,0.4919,-0.126,-0.9676,2.0537,-1.5675,0.3071,-2.9439,-0.2487,-0.6919,2.6006,1.6637,-0.9833,1.5305,1.3513,0.2615,-0.0923,-0.4172,-0.9662,0.8324,4.8258,-2.0692,3.0471,1.0474,-2.8333,-1.2566,-0.3742,-0.0534,-1.759,-0.1467,-0.0343,-0.3164,-0.1902,2.8409
sequence_40828,519,0.1242,0.0336,0.0268,0.0336,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0201,0.0503,0.1074,0.0,0.2897,2.5917,-2.5213,0.5464,-0.5161,0.3528,-1.3804,2.1977,-1.6358,0.086,-1.3669,-1.6621,1.9633,-1.8792,0.3397,-0.2226,1.8122,-0.3419,0.8078,-0.4219,4.6456,0.6621,-0.96,-2.6898,-0.3349,0.4645,-0.0994,0.1121,-0.9707,0.4557,-2.7472,0.3686,-1.8142,-1.3841,-1.451,2.4849,-0.5501,2.3332,-2.0055,-2.9288,-1.7727,-2.1815,0.5645,-0.1154,-1.0585,-1.577,3.5113,-1.274,-1.809,2.1079,-2.0591,-0.5627,-1.7895,-0.1143,-0.1375,2.3011,0.1014,-0.7664,-2.748,-0.2941,-0.1436,-0.3089,2.1603,-0.1658,-0.0321,3.0825,-1.3167,0.4901,-0.1117,-0.9255,2.1227,-1.6227,0.3284,-2.9835,-0.253,-0.6907,2.6368,1.6245,-1.0215,1.5437,1.3491,0.2896,-0.1012,-0.4377,-0.9667,0.8716,4.829,-2.0533,3.0344,1.0514,-2.8172,-1.2484,-0.3965,-0.0917,-1.7558,-0.0939,-0.0589,-0.3669,-0.2293,2.8692
sequence_40829,528,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.0604,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0201,0.0503,0.1074,0.0,0.3306,2.6149,-2.555,0.4599,-0.4532,0.3434,-1.3213,2.1605,-1.6706,0.1321,-1.3538,-1.6398,1.9024,-1.84,0.3569,-0.2273,1.8142,-0.3498,0.8448,-0.5004,4.6588,0.6575,-0.9548,-2.6657,-0.359,0.4799,-0.0818,0.157,-0.9499,0.4174,-2.6808,0.3627,-1.8209,-1.4027,-1.4591,2.4858,-0.5728,2.3256,-2.0461,-2.9175,-1.7184,-2.1629,0.6059,-0.1022,-1.0355,-1.5272,3.5323,-1.2749,-1.7915,2.0866,-2.0627,-0.5453,-1.7754,-0.1156,-0.1478,2.2816,0.134,-0.7651,-2.7459,-0.3005,-0.148,-0.3081,2.1417,-0.1215,-0.0201,3.1068,-1.2876,0.4508,-0.1088,-0.9771,2.0758,-1.5931,0.3036,-2.945,-0.2542,-0.652,2.5905,1.6271,-0.9945,1.5445,1.3172,0.2497,-0.0832,-0.4475,-0.9811,0.8501,4.7903,-2.055,3.0209,1.0822,-2.7696,-1.2633,-0.3722,-0.067,-1.8015,-0.1589,-0.0422,-0.3375,-0.2026,2.8006
sequence_40831,525,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.0973,0.057,0.0201,0.0503,0.1074,0.0,0.309,2.5968,-2.4981,0.4985,-0.4805,0.3496,-1.3135,2.2002,-1.6613,0.1316,-1.3393,-1.6213,1.9409,-1.8699,0.3351,-0.1952,1.8324,-0.298,0.7943,-0.4556,4.7188,0.6505,-0.9789,-2.6411,-0.3959,0.494,-0.0611,0.1504,-0.9764,0.4568,-2.6566,0.3658,-1.8753,-1.4206,-1.4254,2.4478,-0.5493,2.3346,-1.9912,-2.8757,-1.7131,-2.1633,0.6291,-0.1102,-1.0056,-1.521,3.5585,-1.2558,-1.7464,2.04,-2.0654,-0.5315,-1.8001,-0.1192,-0.1402,2.3078,0.138,-0.7703,-2.6824,-0.2888,-0.1694,-0.304,2.153,-0.1422,-0.0052,3.058,-1.305,0.5064,-0.1265,-0.9679,2.0474,-1.5384,0.3191,-2.9535,-0.2429,-0.6974,2.613,1.6617,-1.0113,1.504,1.3746,0.2431,-0.1019,-0.3961,-0.9488,0.8152,4.8196,-2.058,3.0519,1.0625,-2.8235,-1.2579,-0.3921,-0.0562,-1.723,-0.1745,-0.0418,-0.3197,-0.2161,2.8756
sequence_40856,498,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.0973,0.057,0.0235,0.0503,0.1074,0.0,0.3084,2.6164,-2.4889,0.5252,-0.4995,0.3411,-1.3654,2.1931,-1.6314,0.1275,-1.352,-1.6326,1.9859,-1.8902,0.3288,-0.1682,1.8536,-0.311,0.8211,-0.4735,4.7308,0.6278,-0.9229,-2.6378,-0.4103,0.5868,-0.0913,0.1505,-0.9817,0.4483,-2.6436,0.3741,-1.8794,-1.3868,-1.4343,2.503,-0.5684,2.3104,-2.0375,-2.8527,-1.7196,-2.1842,0.6087,-0.1532,-0.9407,-1.5219,3.5581,-1.2426,-1.7569,2.0527,-2.0446,-0.5391,-1.8057,-0.1097,-0.1523,2.3944,0.1639,-0.7679,-2.6797,-0.273,-0.1559,-0.3577,2.1541,-0.1234,-0.02,3.0509,-1.2574,0.4549,-0.0852,-0.9524,2.0718,-1.5545,0.27,-2.9832,-0.1954,-0.6928,2.6781,1.6482,-0.9525,1.5793,1.4253,0.2679,-0.1292,-0.3954,-1.022,0.8436,4.8146,-2.0799,3.0227,1.0381,-2.8805,-1.3224,-0.3663,-0.0632,-1.7399,-0.211,-0.0872,-0.3286,-0.1811,2.9084
sequence_40815,498,0.1242,0.0336,0.0268,0.0302,0.0034,0.0268,0.0268,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0235,0.0503,0.1074,0.0,0.3029,2.6211,-2.4832,0.5274,-0.4998,0.3457,-1.3469,2.2036,-1.6322,0.1272,-1.3669,-1.6316,2.0072,-1.9004,0.3567,-0.1737,1.8647,-0.3188,0.8156,-0.4787,4.7449,0.6169,-0.9453,-2.6416,-0.4174,0.5801,-0.0982,0.1385,-0.994,0.4543,-2.6501,0.377,-1.8817,-1.3887,-1.428,2.5149,-0.5594,2.3196,-2.0423,-2.8486,-1.7039,-2.1843,0.6196,-0.1607,-0.9269,-1.5149,3.5687,-1.238,-1.7649,2.0516,-2.0514,-0.5489,-1.8051,-0.129,-0.1455,2.402,0.1642,-0.7633,-2.677,-0.2745,-0.1715,-0.3645,2.1713,-0.1291,-0.0189,3.0459,-1.2685,0.456,-0.0931,-0.9431,2.0814,-1.561,0.2855,-3.0045,-0.1867,-0.6972,2.7024,1.6513,-0.9568,1.589,1.4438,0.2568,-0.1231,-0.3981,-1.0393,0.8335,4.8249,-2.0931,2.9941,1.0378,-2.9051,-1.3243,-0.3644,-0.0735,-1.7394,-0.2076,-0.0767,-0.3264,-0.218,2.9256
sequence_40851,477,0.1242,0.0336,0.0268,0.0302,0.0034,0.0268,0.0268,0.0537,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0235,0.0503,0.1074,0.0,0.3501,2.6228,-2.4932,0.5177,-0.5107,0.3043,-1.2858,2.1712,-1.6417,0.1168,-1.377,-1.6291,1.9557,-1.8451,0.3491,-0.1874,1.7942,-0.3006,0.8131,-0.4729,4.7688,0.6046,-0.9304,-2.6268,-0.4027,0.5313,-0.0845,0.0996,-0.9278,0.4609,-2.6002,0.3579,-1.8324,-1.3834,-1.3903,2.5158,-0.5843,2.3285,-2.055,-2.8503,-1.6931,-2.1754,0.6361,-0.1314,-0.925,-1.5252,3.5903,-1.2549,-1.759,2.0306,-2.0379,-0.5156,-1.8112,-0.0924,-0.1124,2.3286,0.17,-0.7717,-2.7051,-0.2895,-0.2082,-0.3204,2.1689,-0.1513,-0.015,3.0367,-1.2946,0.4726,-0.1115,-0.9809,2.0493,-1.5773,0.285,-2.9527,-0.2249,-0.6882,2.6421,1.6594,-0.9689,1.5697,1.3979,0.2208,-0.0891,-0.4259,-0.9973,0.7635,4.8345,-2.058,3.0293,1.0127,-2.8378,-1.2466,-0.3506,-0.0654,-1.7293,-0.1566,-0.0646,-0.3152,-0.1904,2.8669
sequence_40847,486,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0235,0.0503,0.1074,0.0,0.2952,2.6026,-2.4836,0.5418,-0.4975,0.3081,-1.3377,2.1507,-1.6076,0.1295,-1.3641,-1.6237,1.9773,-1.847,0.3804,-0.1997,1.8224,-0.3058,0.7985,-0.4943,4.758,0.6336,-0.9021,-2.5872,-0.4079,0.6122,-0.0917,0.1277,-0.9615,0.4508,-2.6157,0.3889,-1.8579,-1.3844,-1.4208,2.4916,-0.5748,2.3138,-2.0329,-2.8296,-1.707,-2.1766,0.6048,-0.1502,-0.9362,-1.5172,3.5753,-1.2407,-1.7591,2.0491,-2.0368,-0.5267,-1.8084,-0.1034,-0.1533,2.3638,0.1582,-0.7661,-2.6577,-0.3038,-0.1764,-0.3275,2.1325,-0.1209,-0.02,3.0356,-1.2485,0.4725,-0.1039,-0.9657,2.0741,-1.5379,0.2602,-2.9728,-0.2074,-0.6937,2.6737,1.6275,-0.9436,1.5588,1.4145,0.2358,-0.1078,-0.3981,-1.012,0.8043,4.8193,-2.0549,3.0261,1.0524,-2.8596,-1.3209,-0.338,-0.0607,-1.713,-0.2482,-0.0809,-0.3266,-0.1791,2.9227
sequence_40858,495,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0235,0.0503,0.1107,0.0,0.3114,2.6105,-2.4927,0.5392,-0.503,0.3213,-1.3542,2.1661,-1.6284,0.1343,-1.3665,-1.621,1.9864,-1.8655,0.3852,-0.1835,1.8472,-0.3145,0.8116,-0.4936,4.7539,0.6205,-0.923,-2.6085,-0.4127,0.5879,-0.0949,0.1302,-0.9844,0.4553,-2.6225,0.3792,-1.8683,-1.385,-1.4239,2.5136,-0.5704,2.3209,-2.0428,-2.8377,-1.7038,-2.182,0.6181,-0.1537,-0.9171,-1.511,3.5771,-1.2297,-1.7511,2.0418,-2.0441,-0.5348,-1.8105,-0.1208,-0.1453,2.3957,0.1709,-0.7683,-2.6645,-0.301,-0.1774,-0.338,2.1329,-0.1159,-0.0246,3.0289,-1.2639,0.4635,-0.0971,-0.9555,2.0779,-1.5422,0.2882,-2.9977,-0.2007,-0.6971,2.6886,1.6383,-0.9589,1.5675,1.4329,0.2472,-0.1122,-0.4045,-1.0229,0.8212,4.819,-2.0743,3.0184,1.0418,-2.867,-1.3264,-0.3688,-0.0695,-1.7345,-0.2243,-0.0796,-0.3321,-0.2122,2.9321
sequence_40852,474,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0537,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.0973,0.057,0.0235,0.0503,0.1074,0.0,0.3347,2.6123,-2.4751,0.5414,-0.5012,0.311,-1.3163,2.1593,-1.6205,0.1491,-1.3648,-1.6161,1.9667,-1.8516,0.3943,-0.1899,1.829,-0.3041,0.7958,-0.4873,4.7629,0.6228,-0.9484,-2.59,-0.4136,0.5587,-0.08,0.1088,-0.9691,0.4702,-2.5967,0.3648,-1.8742,-1.3788,-1.4022,2.5013,-0.5589,2.3273,-2.023,-2.833,-1.6988,-2.1624,0.642,-0.1423,-0.8878,-1.5068,3.5797,-1.2287,-1.7264,2.0091,-2.0529,-0.5048,-1.8076,-0.1077,-0.117,2.376,0.1558,-0.7751,-2.6702,-0.3045,-0.1847,-0.2978,2.1312,-0.1342,-0.0054,3.0177,-1.2701,0.4938,-0.1115,-0.981,2.0452,-1.5413,0.3005,-2.9651,-0.2194,-0.6934,2.6509,1.6578,-1.0025,1.5345,1.4269,0.1975,-0.0958,-0.4086,-0.9725,0.7437,4.8298,-2.0519,3.0392,1.0306,-2.8247,-1.2602,-0.3688,-0.0675,-1.7039,-0.2074,-0.0705,-0.3236,-0.2139,2.9078
