id,target,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120
sequence_40843,495,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0604,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0235,0.0503,0.1074,0.0,0.2834,2.5899,-2.4803,0.5228,-0.4696,0.3486,-1.3422,2.1907,-1.643,0.1209,-1.3412,-1.634,1.9585,-1.8819,0.3079,-0.2145,1.8471,-0.3042,0.8014,-0.4397,4.7281,0.6668,-0.9365,-2.6299,-0.4071,0.5867,-0.0613,0.1631,-0.9584,0.4387,-2.6476,0.394,-1.8778,-1.4063,-1.4343,2.4335,-0.5627,2.3154,-1.9993,-2.8566,-1.6982,-2.1675,0.6022,-0.1377,-1.0106,-1.5276,3.5651,-1.2466,-1.7463,2.0666,-2.0371,-0.5548,-1.7922,-0.1128,-0.1819,2.3151,0.1415,-0.7665,-2.6548,-0.2834,-0.142,-0.3501,2.1467,-0.1328,-0.0221,3.0523,-1.2664,0.4762,-0.1087,-0.9674,2.0561,-1.5253,0.2538,-2.9539,-0.2016,-0.7007,2.6381,1.639,-0.9389,1.5272,1.3687,0.2793,-0.1207,-0.3838,-1.004,0.8511,4.8231,-2.0471,3.0186,1.0708,-2.8678,-1.3207,-0.3531,-0.06,-1.7281,-0.2246,-0.0732,-0.3202,-0.1638,2.8881
sequence_40846,483,0.1242,0.0336,0.0268,0.0302,0.0034,0.0268,0.0268,0.057,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.0906,0.057,0.0235,0.0503,0.1074,0.0,0.3076,2.6132,-2.5021,0.5175,-0.507,0.3001,-1.311,2.1592,-1.6278,0.101,-1.3768,-1.638,1.9687,-1.841,0.3338,-0.1991,1.7911,-0.3032,0.8156,-0.4798,4.7617,0.6159,-0.8814,-2.6217,-0.3988,0.589,-0.0962,0.1176,-0.9221,0.4443,-2.618,0.3824,-1.8169,-1.3843,-1.4101,2.5105,-0.6028,2.3127,-2.0668,-2.8459,-1.6991,-2.1873,0.5968,-0.1369,-0.9666,-1.5341,3.5844,-1.2674,-1.7943,2.0694,-2.0218,-0.5387,-1.8139,-0.0873,-0.1504,2.3247,0.1756,-0.7616,-2.6922,-0.2902,-0.1999,-0.3491,2.1672,-0.1396,-0.0284,3.0519,-1.273,0.4504,-0.1027,-0.9646,2.0805,-1.571,0.2398,-2.9646,-0.2121,-0.6901,2.6693,1.6242,-0.9095,1.5937,1.3927,0.2609,-0.1014,-0.4161,-1.0388,0.8255,4.8262,-2.0606,3.0145,1.0314,-2.8734,-1.3073,-0.3197,-0.0576,-1.735,-0.1978,-0.0754,-0.3174,-0.1531,2.8905
sequence_40791,454,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0537,0.0067,0.057,0.1477,0.0235,0.0201,0.0503,0.0403,0.0973,0.057,0.0201,0.0503,0.1074,0.0,0.327,2.5837,-2.4726,0.5199,-0.5113,0.2966,-1.3058,2.159,-1.6087,0.1141,-1.3646,-1.6345,1.9547,-1.825,0.422,-0.1941,1.8261,-0.2968,0.8003,-0.505,4.7568,0.6251,-0.9191,-2.5945,-0.4089,0.5882,-0.0763,0.1216,-0.9645,0.4731,-2.6157,0.3702,-1.8948,-1.3839,-1.4152,2.4899,-0.5616,2.3423,-2.0201,-2.8382,-1.7082,-2.1633,0.6238,-0.1299,-0.9104,-1.5104,3.5712,-1.2399,-1.7512,2.0314,-2.0494,-0.5069,-1.8037,-0.1103,-0.116,2.3493,0.1487,-0.7842,-2.6807,-0.2997,-0.1899,-0.2829,2.1456,-0.1322,-0.0183,3.0122,-1.2731,0.4886,-0.1178,-0.9744,2.0485,-1.5529,0.2668,-2.9564,-0.2213,-0.6899,2.6647,1.6368,-1.0069,1.5406,1.4404,0.1906,-0.1075,-0.3982,-0.9555,0.7346,4.8336,-2.0527,3.0353,1.0275,-2.8278,-1.2379,-0.3327,-0.0709,-1.6824,-0.2289,-0.0641,-0.3216,-0.2027,2.9141
sequence_40793,456,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0537,0.0067,0.057,0.1443,0.0235,0.0235,0.0503,0.0403,0.0973,0.057,0.0201,0.0503,0.1074,0.0,0.3311,2.5772,-2.4688,0.5293,-0.5054,0.3093,-1.2983,2.169,-1.6121,0.1249,-1.3798,-1.6354,1.9648,-1.8238,0.4403,-0.1874,1.8449,-0.3106,0.8054,-0.5051,4.7523,0.6138,-0.9281,-2.6045,-0.4131,0.5781,-0.1005,0.1027,-0.958,0.4755,-2.6204,0.3517,-1.9078,-1.3792,-1.4235,2.5052,-0.5509,2.3414,-2.017,-2.8352,-1.6919,-2.1669,0.6282,-0.1288,-0.8955,-1.499,3.5721,-1.2414,-1.7571,2.0267,-2.0586,-0.509,-1.7999,-0.1108,-0.1147,2.3595,0.1489,-0.7762,-2.6922,-0.2892,-0.1813,-0.3085,2.1555,-0.1275,-0.0139,3.0079,-1.2796,0.4835,-0.1162,-0.9718,2.0506,-1.5596,0.2843,-2.9607,-0.2159,-0.6907,2.6706,1.6483,-1.0223,1.5489,1.4654,0.1838,-0.1026,-0.3939,-0.9632,0.721,4.8307,-2.0669,3.0013,1.0248,-2.8307,-1.2201,-0.3373,-0.0676,-1.6831,-0.2178,-0.0752,-0.3213,-0.2188,2.9037
sequence_40861,464,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0537,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.0973,0.0604,0.0235,0.0503,0.1074,0.0,0.3441,2.593,-2.4615,0.5127,-0.4782,0.3751,-1.3156,2.2325,-1.7083,0.1876,-1.3281,-1.6003,1.9474,-1.929,0.3274,-0.1795,1.8838,-0.2873,0.8051,-0.4233,4.739,0.5861,-1.0278,-2.6426,-0.4164,0.5017,-0.1041,0.0727,-1.0012,0.4871,-2.6276,0.3575,-1.9448,-1.3701,-1.4272,2.5032,-0.54,2.3465,-1.9954,-2.8432,-1.709,-2.1554,0.6726,-0.1262,-0.867,-1.4886,3.5607,-1.2293,-1.6912,1.9524,-2.0726,-0.4981,-1.7803,-0.1352,-0.1092,2.3892,0.1583,-0.7585,-2.6762,-0.2421,-0.1561,-0.3178,2.1251,-0.147,-0.0222,3.0016,-1.347,0.503,-0.0692,-0.973,2.0005,-1.5581,0.3358,-2.9588,-0.2471,-0.6775,2.6443,1.6558,-1.0646,1.4809,1.4174,0.2635,-0.0883,-0.4085,-0.9727,0.7826,4.8265,-2.0611,3.0101,0.995,-2.8125,-1.2065,-0.4013,-0.0914,-1.7375,-0.1249,-0.055,-0.2978,-0.249,2.8802
sequence_40812,464,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1443,0.0235,0.0168,0.0503,0.0403,0.0973,0.057,0.0235,0.0503,0.1074,0.0,0.3215,2.613,-2.4939,0.5275,-0.4839,0.3303,-1.3491,2.1624,-1.6292,0.1572,-1.3492,-1.6171,1.9627,-1.8722,0.3748,-0.1995,1.8277,-0.3035,0.7948,-0.4863,4.7614,0.6405,-0.9179,-2.5857,-0.4037,0.5883,-0.0728,0.1358,-0.9652,0.4697,-2.5909,0.3858,-1.8729,-1.3989,-1.4065,2.4697,-0.5564,2.3455,-2.02,-2.853,-1.695,-2.1575,0.6224,-0.1332,-0.9206,-1.4914,3.5817,-1.2411,-1.7357,2.0147,-2.046,-0.5199,-1.7989,-0.091,-0.1299,2.3533,0.1661,-0.7719,-2.6819,-0.3084,-0.1797,-0.298,2.124,-0.1125,-0.0118,3.0066,-1.2664,0.487,-0.1164,-0.9839,2.0503,-1.5185,0.2679,-2.9651,-0.2325,-0.7058,2.6393,1.644,-0.988,1.508,1.4031,0.2169,-0.0908,-0.406,-0.9712,0.7636,4.8337,-2.0373,3.0413,1.0287,-2.8028,-1.2781,-0.3606,-0.0468,-1.7178,-0.224,-0.0588,-0.3357,-0.1599,2.9134
sequence_40854,465,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0503,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.1007,0.057,0.0235,0.0503,0.1074,0.0,0.3244,2.6245,-2.4803,0.5537,-0.5169,0.3012,-1.3093,2.1744,-1.5982,0.1238,-1.3777,-1.6101,1.9569,-1.8334,0.388,-0.1543,1.8147,-0.3013,0.7994,-0.4935,4.7719,0.6228,-0.9349,-2.6086,-0.4162,0.557,-0.0936,0.1025,-0.9735,0.4771,-2.6279,0.3716,-1.8412,-1.3727,-1.4052,2.5182,-0.5654,2.3195,-2.042,-2.8426,-1.7276,-2.1647,0.6402,-0.1352,-0.8913,-1.4974,3.5799,-1.2513,-1.7259,2.0255,-2.0427,-0.4916,-1.8012,-0.0873,-0.1115,2.3934,0.1581,-0.7675,-2.6883,-0.295,-0.1854,-0.3204,2.1479,-0.1499,-0.0097,3.0657,-1.2826,0.512,-0.1213,-0.9866,2.0612,-1.5723,0.313,-2.9776,-0.2182,-0.687,2.678,1.6649,-1.0016,1.5661,1.4248,0.1961,-0.095,-0.4179,-0.9803,0.7478,4.8301,-2.0774,3.0544,1.0231,-2.832,-1.2503,-0.3729,-0.0722,-1.7144,-0.1837,-0.074,-0.3202,-0.2155,2.9078
sequence_40853,463,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1443,0.0235,0.0201,0.047,0.0403,0.0973,0.057,0.0235,0.0503,0.1074,0.0,0.2928,2.6274,-2.4529,0.5549,-0.4895,0.2959,-1.376,2.1344,-1.6067,0.1467,-1.3606,-1.6083,1.97,-1.8407,0.3544,-0.2048,1.8083,-0.3192,0.7892,-0.4833,4.7324,0.6296,-0.8698,-2.583,-0.3805,0.6197,-0.0757,0.1409,-0.9611,0.464,-2.5685,0.3987,-1.8563,-1.3718,-1.3824,2.4954,-0.5808,2.2908,-2.0366,-2.82,-1.6836,-2.1674,0.5641,-0.1422,-0.8945,-1.4941,3.5719,-1.2306,-1.7334,2.0313,-2.0372,-0.5364,-1.8248,-0.0823,-0.1568,2.3919,0.1446,-0.7486,-2.6022,-0.3061,-0.1748,-0.3155,2.0996,-0.0847,-0.033,2.9882,-1.2431,0.4646,-0.0774,-0.9826,2.0785,-1.5081,0.2443,-2.9743,-0.2188,-0.6775,2.6654,1.6022,-0.9569,1.5302,1.4391,0.2476,-0.0963,-0.4118,-1.0215,0.7924,4.8096,-2.0661,2.9887,1.0241,-2.8537,-1.337,-0.3157,-0.0632,-1.6786,-0.2601,-0.0772,-0.3392,-0.1486,2.9226
sequence_40848,461,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0537,0.0067,0.057,0.1443,0.0235,0.0201,0.047,0.0403,0.0973,0.057,0.0235,0.0503,0.1074,0.0,0.3217,2.6216,-2.4703,0.5521,-0.4861,0.2944,-1.3269,2.1396,-1.6043,0.154,-1.3546,-1.6129,1.9552,-1.8372,0.3931,-0.1947,1.8146,-0.3195,0.7942,-0.4944,4.7484,0.6239,-0.9246,-2.5755,-0.4123,0.5806,-0.0768,0.1139,-0.9569,0.4777,-2.5667,0.3684,-1.8588,-1.3653,-1.3891,2.5073,-0.5681,2.3076,-2.0398,-2.8179,-1.6808,-2.1661,0.608,-0.1453,-0.8641,-1.5096,3.5754,-1.226,-1.7085,2.0057,-2.0398,-0.5055,-1.811,-0.0899,-0.1251,2.3852,0.1508,-0.7625,-2.6326,-0.313,-0.187,-0.2989,2.121,-0.1097,-0.013,2.9923,-1.2701,0.4849,-0.0992,-0.9864,2.0559,-1.5195,0.2873,-2.9689,-0.2167,-0.6816,2.6643,1.6251,-1.0008,1.5235,1.4376,0.2031,-0.0852,-0.4127,-0.9933,0.7353,4.8189,-2.0569,3.0179,1.0066,-2.8291,-1.269,-0.3474,-0.0587,-1.6838,-0.2226,-0.0675,-0.3163,-0.1985,2.9141
sequence_40849,464,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.057,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.0973,0.057,0.0235,0.047,0.1074,0.0,0.3062,2.5978,-2.4457,0.5048,-0.4795,0.3322,-1.3226,2.1844,-1.5983,0.1537,-1.3765,-1.616,1.9628,-1.8653,0.3848,-0.191,1.8253,-0.3089,0.791,-0.4754,4.739,0.6325,-0.959,-2.606,-0.403,0.5546,-0.045,0.1106,-0.9772,0.4648,-2.6022,0.3671,-1.8939,-1.3742,-1.4003,2.4646,-0.5446,2.3122,-1.991,-2.8233,-1.7041,-2.1429,0.6463,-0.1227,-0.9032,-1.5061,3.5547,-1.234,-1.748,2.0044,-2.0509,-0.5134,-1.8089,-0.0815,-0.1051,2.3662,0.1187,-0.77,-2.6419,-0.2825,-0.1807,-0.2858,2.147,-0.1335,0.0036,2.9992,-1.28,0.505,-0.0802,-0.9701,2.0428,-1.5373,0.2862,-2.9608,-0.2108,-0.6824,2.6321,1.6388,-1.0144,1.5181,1.4277,0.1949,-0.1003,-0.3925,-0.9625,0.7254,4.8258,-2.0465,3.0148,1.0376,-2.8511,-1.2708,-0.3822,-0.0437,-1.6756,-0.2121,-0.062,-0.3149,-0.1908,2.9173
sequence_40850,462,0.1242,0.0336,0.0268,0.0302,0.0,0.0268,0.0268,0.0537,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.0973,0.0604,0.0235,0.047,0.1074,0.0,0.323,2.6074,-2.4685,0.5306,-0.4969,0.3147,-1.3327,2.1586,-1.6103,0.159,-1.3622,-1.6206,1.9775,-1.8583,0.3984,-0.194,1.837,-0.2998,0.799,-0.4858,4.7637,0.6335,-0.9483,-2.5858,-0.4211,0.5649,-0.081,0.1143,-0.9761,0.4746,-2.5979,0.3559,-1.8834,-1.3812,-1.409,2.498,-0.5571,2.3296,-2.0159,-2.8208,-1.7073,-2.1491,0.6522,-0.1339,-0.888,-1.5081,3.5801,-1.2201,-1.707,2.0058,-2.052,-0.5001,-1.8051,-0.1104,-0.109,2.3933,0.1533,-0.772,-2.6505,-0.2982,-0.1967,-0.2834,2.1298,-0.1325,-0.0086,3.0126,-1.2744,0.4938,-0.1061,-0.977,2.0588,-1.5317,0.3012,-2.9689,-0.2066,-0.6905,2.6491,1.6525,-1.0067,1.5141,1.4301,0.186,-0.1003,-0.3983,-0.9744,0.7358,4.8325,-2.0489,3.0505,1.0343,-2.8224,-1.2723,-0.3799,-0.0516,-1.7073,-0.2301,-0.0718,-0.332,-0.213,2.9142
sequence_40792,517,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1409,0.0235,0.0235,0.0503,0.0403,0.094,0.057,0.0168,0.0503,0.1074,0.0,0.287,2.5682,-2.4895,0.4967,-0.4898,0.3412,-1.2794,2.2072,-1.6412,0.0688,-1.3754,-1.6438,1.9416,-1.7969,0.3905,-0.1806,1.8244,-0.3189,0.8098,-0.479,4.7146,0.6482,-0.9423,-2.668,-0.3937,0.5241,-0.0747,0.1401,-0.9353,0.4648,-2.6949,0.3556,-1.8601,-1.4298,-1.4301,2.4594,-0.5609,2.3447,-2.0117,-2.8743,-1.6948,-2.1776,0.6054,-0.0916,-1.0306,-1.5247,3.5669,-1.2886,-1.7901,2.0873,-2.0478,-0.5396,-1.8026,-0.1234,-0.1459,2.2993,0.1372,-0.765,-2.6953,-0.3008,-0.1725,-0.33,2.1859,-0.1616,-0.0144,3.08,-1.3143,0.4947,-0.1443,-0.9567,2.0834,-1.5582,0.2966,-2.9776,-0.2324,-0.71,2.6531,1.6543,-1.0072,1.5524,1.4322,0.2245,-0.1054,-0.3874,-0.9763,0.7965,4.8164,-2.0848,3.026,1.057,-2.8518,-1.2371,-0.355,-0.0491,-1.6948,-0.1833,-0.0464,-0.3317,-0.2072,2.8846
sequence_40790,523,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1443,0.0235,0.0201,0.0503,0.0403,0.094,0.057,0.0168,0.0503,0.1074,0.0,0.2836,2.5751,-2.4947,0.4887,-0.4952,0.3274,-1.2836,2.1962,-1.6356,0.0625,-1.3587,-1.644,1.9342,-1.8002,0.3721,-0.1902,1.807,-0.3035,0.8059,-0.4767,4.7205,0.6586,-0.9351,-2.6547,-0.39,0.5388,-0.048,0.1592,-0.9453,0.4609,-2.6893,0.3743,-1.8527,-1.4341,-1.4237,2.4471,-0.5741,2.3453,-2.0146,-2.8779,-1.7116,-2.1722,0.6031,-0.0928,-1.0387,-1.5357,3.5629,-1.2884,-1.7825,2.0921,-2.0412,-0.5353,-1.8084,-0.1262,-0.1458,2.2932,0.1377,-0.7723,-2.6814,-0.3108,-0.1847,-0.3024,2.1747,-0.1686,-0.0179,3.0855,-1.3093,0.5031,-0.147,-0.9574,2.0823,-1.5524,0.2803,-2.9733,-0.2356,-0.7087,2.6461,1.6443,-0.9914,1.5444,1.4067,0.2288,-0.1104,-0.39,-0.9665,0.8095,4.8208,-2.0698,3.0587,1.0563,-2.8496,-1.2548,-0.3467,-0.0503,-1.6928,-0.195,-0.0377,-0.3303,-0.1951,2.8973
sequence_40860,535,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.057,0.0067,0.057,0.1376,0.0235,0.0201,0.0503,0.0403,0.094,0.0604,0.0201,0.0503,0.1074,0.0,0.3039,2.5962,-2.4782,0.4871,-0.4689,0.4045,-1.3177,2.2643,-1.7371,0.1375,-1.3202,-1.6144,1.9379,-1.9027,0.2639,-0.1724,1.8712,-0.2976,0.822,-0.3959,4.6976,0.6255,-1.0283,-2.7082,-0.3935,0.4611,-0.0918,0.105,-0.9708,0.4732,-2.6795,0.3615,-1.8949,-1.4134,-1.4292,2.4662,-0.5481,2.3425,-1.9914,-2.8769,-1.7091,-2.1593,0.6376,-0.0966,-0.9899,-1.5084,3.5575,-1.2775,-1.7151,2.006,-2.0646,-0.5282,-1.7809,-0.1384,-0.1423,2.346,0.1507,-0.7422,-2.6684,-0.2495,-0.139,-0.3406,2.1391,-0.1778,-0.0331,3.0526,-1.3777,0.5094,-0.095,-0.9593,2.0371,-1.5561,0.3431,-2.9573,-0.2616,-0.6936,2.6286,1.6474,-1.0579,1.4776,1.3896,0.2969,-0.088,-0.4034,-0.9998,0.8601,4.8064,-2.0899,3.0263,1.0107,-2.8266,-1.2227,-0.4082,-0.0668,-1.7555,-0.0955,-0.0343,-0.3144,-0.2254,2.8422
sequence_40839,538,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.0537,0.0067,0.057,0.1409,0.0235,0.0201,0.0503,0.0403,0.0973,0.057,0.0201,0.0503,0.1074,0.0,0.3074,2.6311,-2.4771,0.5076,-0.4952,0.3519,-1.3038,2.2109,-1.6497,0.1055,-1.3559,-1.6022,1.9344,-1.8496,0.3103,-0.1632,1.8202,-0.3042,0.7975,-0.454,4.7284,0.6362,-0.9794,-2.668,-0.3931,0.4793,-0.0652,0.1459,-0.9604,0.4847,-2.6718,0.3587,-1.8311,-1.4109,-1.3813,2.4854,-0.559,2.3242,-2.0267,-2.8677,-1.7237,-2.1606,0.6247,-0.0904,-0.9832,-1.5148,3.568,-1.2773,-1.7128,2.0516,-2.0309,-0.5075,-1.7907,-0.1111,-0.1289,2.3615,0.1508,-0.749,-2.6649,-0.2883,-0.1753,-0.3365,2.1598,-0.173,-0.0017,3.0896,-1.3325,0.5208,-0.13,-0.9681,2.0787,-1.5505,0.344,-2.9846,-0.2365,-0.694,2.6554,1.6656,-1.0134,1.5252,1.4097,0.2369,-0.087,-0.4132,-0.9857,0.8052,4.8117,-2.1065,3.0638,1.0301,-2.842,-1.2601,-0.4078,-0.0483,-1.7326,-0.1361,-0.0403,-0.3281,-0.2179,2.8795
sequence_40835,535,0.1275,0.0336,0.0268,0.0302,0.0,0.0268,0.0302,0.0604,0.0067,0.057,0.1409,0.0235,0.0201,0.047,0.0403,0.094,0.057,0.0201,0.0503,0.1074,0.0,0.2579,2.6005,-2.4804,0.5285,-0.4574,0.3445,-1.316,2.1731,-1.6705,0.0866,-1.3407,-1.6253,1.9271,-1.8318,0.2521,-0.1961,1.7961,-0.3078,0.807,-0.401,4.6918,0.6482,-0.9538,-2.6405,-0.3799,0.534,-0.0495,0.1671,-0.9423,0.4642,-2.633,0.3973,-1.7982,-1.4076,-1.3837,2.4341,-0.5884,2.307,-2.0359,-2.8444,-1.6861,-2.172,0.5757,-0.1108,-1.0188,-1.5334,3.558,-1.2657,-1.7317,2.0658,-2.0124,-0.554,-1.8005,-0.1107,-0.183,2.3097,0.1436,-0.731,-2.617,-0.3203,-0.1625,-0.3356,2.1235,-0.1481,-0.0352,3.0588,-1.3077,0.4905,-0.0819,-0.9675,2.0824,-1.5053,0.2582,-2.9744,-0.239,-0.6956,2.6374,1.6146,-0.9536,1.5096,1.3607,0.3114,-0.0916,-0.3984,-1.0192,0.8704,4.7987,-2.0595,3.018,1.046,-2.8457,-1.3128,-0.3637,-0.0496,-1.698,-0.1611,-0.0533,-0.3204,-0.1683,2.8835
